date,travel to Maldives,trip to Maldives,visit Maldives,Tourism_Index,Smoothed_Tourism,Tourist_Arrivals
2/1/2015,-0.892010055,-0.797119393,-0.786518941,-0.814675286,-0.868092378,120468
3/1/2015,-0.631158601,-0.538028265,-0.65768338,-0.683174403,-0.86494702,112427
4/1/2015,-1.003932055,-0.800814358,-0.545822129,-0.711380287,-0.665616314,102242
5/1/2015,-0.649664959,-0.817094572,-0.381342403,-0.613277755,-0.68979646,95389
6/1/2015,-0.462653664,-0.627189761,-0.645877356,-0.599252946,-0.654038815,81506
7/1/2015,-0.585178154,-0.406244753,-0.440500282,-0.520584471,-0.633180208,104517
8/1/2015,-0.644790799,-0.464748848,-0.949885155,-0.600153264,-0.564925581,110144
9/1/2015,-0.820516894,-1.041904159,-0.669565819,-0.880756726,-0.700855624,95511
10/1/2015,-0.61781821,-1.08485433,-0.699058019,-0.887335877,-0.696951074,105498
11/1/2015,-1.009125764,-0.708383433,-0.902333738,-0.826847993,-0.728264917,90218
12/1/2015,-0.770340106,-0.692999837,-0.582869927,-0.707931983,-0.863686059,119255
1/1/2016,0.004320058,0.221850884,-0.386248524,-0.105895717,-0.627354269,108396
2/1/2016,-0.364868867,-0.120499511,-0.743041107,-0.433189533,-0.584989435,120639
3/1/2016,-0.853159544,-0.676061264,-0.610539259,-0.603776703,-0.450562781,115131
4/1/2016,-0.608958803,-0.460193754,-0.632055551,-0.5331081,-0.417977915,103493
5/1/2016,-0.19272715,0.043194859,-0.308310956,-0.183560004,-0.485952315,93228
6/1/2016,-0.387692395,0.203529771,-0.515290265,-0.281153592,-0.412385735,79034
7/1/2016,-0.615460328,0.125445035,-0.404965041,-0.270739796,-0.30808438,110432
8/1/2016,-0.631153367,-0.084640885,-0.359559023,-0.359507236,-0.278317537,112282
9/1/2016,-0.358377354,-0.148333559,-0.594259245,-0.340585941,-0.324055892,101909
10/1/2016,-0.695155678,-0.268609705,-0.642125038,-0.473928547,-0.337968717,117489
11/1/2016,-0.480624548,-0.447777708,-0.82620516,-0.619508134,-0.451357498,104572
12/1/2016,-0.599076797,-0.38544231,-0.465531898,-0.509078081,-0.462981006,119530
1/1/2017,0.036953681,0.435390465,-0.156806403,0.097072277,-0.360590464,125336
2/1/2017,-0.118360183,-0.113889045,-0.375383877,-0.216551307,-0.323669298,121052
3/1/2017,-0.003828401,0.100142108,-0.164850706,-0.018361042,-0.152265034,112665
4/1/2017,-0.536855533,-0.12496694,-0.326710375,-0.354240985,-0.125209728,119774
5/1/2017,-0.29807082,0.002503938,-0.356151977,-0.150258689,-0.173018288,93491
6/1/2017,-0.207195191,0.536159977,0.178685237,0.192222271,-0.080229897,85222
7/1/2017,-0.136660307,0.025156771,-0.423818332,-0.115798227,-0.098945074,113175
8/1/2017,-0.491128219,-0.23811165,-0.356270184,-0.313319098,-0.098962353,121310
9/1/2017,-0.34143589,-0.199287947,-0.514496538,-0.355389559,-0.134870678,105984
10/1/2017,-0.596707787,-0.172126954,-0.401650977,-0.405130754,-0.293326412,127986
11/1/2017,-0.474303056,0.223472822,-0.215819424,-0.139565772,-0.304592144,120506
12/1/2017,-0.294842473,-0.447388916,-0.309771585,-0.295169858,-0.275959607,143041
1/1/2018,0.457596305,0.91970952,0.520327295,0.617226975,-0.051399791,142351
2/1/2018,-0.02736721,0.631316897,-0.105484664,0.16102199,0.093477384,144286
3/1/2018,-0.025395283,0.302801631,-0.094599814,0.116750553,0.163384753,133466
4/1/2018,-0.161005758,0.127550426,-0.041075187,-0.015456355,0.244626416,119713
5/1/2018,-0.10768647,0.208554973,-0.035846263,0.07812623,0.087865672,92913
6/1/2018,0.134032517,0.236661422,0.198980276,0.255404608,0.101739638,93786
7/1/2018,0.179750488,0.865259198,0.078735129,0.473789874,0.172029365,122332
8/1/2018,0.29416678,0.965108104,0.144211192,0.520502626,0.321603439,123992
